Australia	25921089	0.139017759162615	0.15504	0.13	0.165	0.00415842868330108	0.393493267200309	0.865662125538013	0.840217669867188	0.549827709784878
Austria	8922082	0.0266093432664467	0.19202	0.284	0.309	0.0162723229847025	0.566037501112408	0.771816152328571	0.764490844177402	0.643446899501708
Bolivia	12079472	0.249458660098447	0.06704	NULL	NULL	0.0169129081138646	0.0917001173561229	0.606742910617285	0.50635350617974	0.169959415444649
Bulgaria	6885868	0.124395659731988	0.20801	0.301	0.444	0.0616753036799427	0.182102532316913	0.305107649464091	0.300804488264951	0.111595226629381
Canada	38155012	0.0685034633838569	0.16984	0.12	0.166	0.00276763115681893	0.111633643307464	0.871956795610495	0.827438633750135	0.649107828874487
Denmark	5854240	0.0508891326736975	0.19677	0.193	0.188	0.0196040818278718	0.561982084779579	0.822453298805652	0.816408107627976	0.623651575610156
Estonia	1328701	0.175411407890296	0.19452	0.245	0.393	0.192345004632344	0.452167944481114	0.652337884896602	0.63679940031655	0.400559644344363
Finland	5535992	0.116591795008375	0.21228	0.183	0.226	0.0277289056776094	0.232486607639606	0.816800674567449	0.784452542561478	0.712491275276409
France	67422000	0.126197057153331	0.19718	0.301	0.356	0.00127643795793658	0.520784195069859	0.809299486814393	0.786922354721011	0.642017679689122
Germany	83408554	0.250635136186269	0.21453	0.282	0.331	0.00187197826256525	0.394504932911317	0.776658231001103	0.760805816151662	0.712109563726521
India	1407563842	0.0519010567263262	0.05989	0.019	0.206	0.000200545077656236	0.0316564149137898	0.728921569583769	0.672864557002453	0.140834310377234
Ireland	4986526	0.134604832646585	0.13928	0.23	0.257	0.0253601405066373	0.333299776237003	0.821526248935632	0.812452998339926	0.629379852827399
Israel	9291000	0.0899064067460468	0.11733	0.154	0.354	0.0100441287267248	0.501060703907007	0.7230543536756	0.662334732536864	0.576391669357443
Italy	59240330	0.0989049714601123	0.23021	0.198	0.278	0.00191003324930837	0.375443030111412	0.858140425618831	0.809677596326692	0.731633922363363
Japan	124612530	0.390814709990989	0.27049	0.112	0.337	0.00063693434360092	0.167804297047817	0.836173609507808	0.824881735408149	0.925348518323157
Latvia	1873919	0.126734581884435	0.19754	0.256	0.51	0.186806366763985	0.491240549885027	0.718378969421837	0.696922332288642	0.282595992676311
Malaysia	33573874	0.0795781449132097	0.06293	0.01	0.424	0.00777217428051347	0.143749273616741	0.836959118867248	0.819248472785714	0.49825805029232
Netherlands	17501696	0.274406721258984	0.18779	0.244	0.273	0.00624859442193488	0.481142741823421	0.729961084914285	0.683228185428429	0.538068310636866
Portugal	10290103	0.127796892458595	0.21502	0.163	0.3	0.0124237823469794	0.531866104741614	0.947665635611228	0.866305614239235	0.669930611967635
Romania	19328560	0.153305349808872	0.1785	0.229	0.371	0.0191916004089286	0.168627564598708	0.423286214803379	0.419833086375809	NULL
Russia	145102755	0.0689049409826088	0.14178	0.234	0.583	0.0029723556937289	0.140202906554049	0.582873474731751	0.528978550407261	0.123285495165133
South Africa	59392255	0.156683928114999	0.05344	0.081	0.332	0.0033738405790452	0.0676352665848434	0.375697622526708	0.326353899174227	0.0627355199764683
Spain	47486935	0.143762176079887	0.19436	0.274	0.314	0.00209327049640075	0.282039596785937	0.869758576753796	0.855927740967068	0.546458241619511
Sweden	10467097	0.140342690255131	0.19985	0.188	0.189	0.0128003017455556	0.246808642358048	0.74957010525459	0.732105472988356	0.526917444254123
United Kingdom	67281040	0.0469369120211646	0.18517	0.2	0.247	0.00181532568462081	0.351093799976933	0.799734412547725	0.754237761485256	0.600079710420647
United States	336997624	0.0946094918521806	0.15413	0.191	0.246	0.000448338472558489	0.256252913522025	0.770289846316543	0.659822800412385	0.363309727667397
