India	2020-06-29 00:00:00.000	8398362	566840	16893	NULL	NULL	NULL	NULL
India	2020-06-30 00:00:00.000	8608654	585481	17400	NULL	NULL	NULL	NULL
India	2020-07-01 00:00:00.000	8826585	604641	17834	NULL	NULL	NULL	NULL
India	2020-07-02 00:00:00.000	9056173	625544	18213	NULL	NULL	NULL	NULL
India	2020-07-03 00:00:00.000	9297749	648315	18655	NULL	NULL	NULL	NULL
India	2020-07-04 00:00:00.000	9540132	673165	19268	NULL	NULL	NULL	NULL
India	2020-07-05 00:00:00.000	9789066	697413	19693	NULL	NULL	NULL	NULL
India	2020-07-06 00:00:00.000	9969662	719664	20159	NULL	NULL	NULL	NULL
India	2020-07-07 00:00:00.000	10211092	742417	20642	NULL	NULL	NULL	NULL
India	2020-07-08 00:00:00.000	10473771	767296	21129	NULL	NULL	NULL	NULL
India	2020-07-09 00:00:00.000	10740832	793802	21604	NULL	NULL	NULL	NULL
India	2020-07-10 00:00:00.000	11024491	820916	22123	NULL	NULL	NULL	NULL
India	2020-07-11 00:00:00.000	11307002	849522	22673	NULL	NULL	NULL	NULL
India	2020-07-12 00:00:00.000	11587153	878254	23174	NULL	NULL	NULL	NULL
India	2020-07-13 00:00:00.000	11806256	906752	23727	NULL	NULL	NULL	NULL
India	2020-07-14 00:00:00.000	12092503	936181	24309	NULL	NULL	NULL	NULL
India	2020-07-15 00:00:00.000	12412664	968857	24914	NULL	NULL	NULL	NULL
India	2020-07-16 00:00:00.000	12739490	1003832	25602	NULL	NULL	NULL	NULL
India	2020-07-17 00:00:00.000	13072718	1039084	26273	NULL	NULL	NULL	NULL
India	2020-07-18 00:00:00.000	13433742	1077781	26816	NULL	NULL	NULL	NULL
India	2020-07-19 00:00:00.000	13791869	1118206	27497	NULL	NULL	NULL	NULL
India	2020-07-20 00:00:00.000	14047908	1155338	28082	NULL	NULL	NULL	NULL
India	2020-07-21 00:00:00.000	14381303	1193078	28732	NULL	NULL	NULL	NULL
India	2020-07-22 00:00:00.000	14724546	1238798	29861	NULL	NULL	NULL	NULL
India	2020-07-23 00:00:00.000	15075369	1288108	30601	NULL	NULL	NULL	NULL
India	2020-07-24 00:00:00.000	15428170	1337024	31358	NULL	NULL	NULL	NULL
India	2020-07-25 00:00:00.000	15849068	1385635	32060	NULL	NULL	NULL	NULL
India	2020-07-26 00:00:00.000	16291331	1435616	32771	NULL	NULL	NULL	NULL
India	2020-07-27 00:00:00.000	16806803	1480073	33408	NULL	NULL	NULL	NULL
India	2020-07-28 00:00:00.000	17334885	1531669	34193	NULL	NULL	NULL	NULL
India	2020-07-29 00:00:00.000	17743740	1581963	34955	NULL	NULL	NULL	NULL
India	2020-07-30 00:00:00.000	18190382	1634746	35718	NULL	NULL	NULL	NULL
India	2020-07-31 00:00:00.000	18832970	1695988	36511	NULL	NULL	NULL	NULL
India	2020-08-01 00:00:00.000	19358659	1750723	37364	NULL	NULL	NULL	NULL
India	2020-08-02 00:00:00.000	19821831	1803695	38135	NULL	NULL	NULL	NULL
India	2020-08-03 00:00:00.000	20202858	1855745	38938	NULL	NULL	NULL	NULL
India	2020-08-04 00:00:00.000	20864750	1908254	39795	NULL	NULL	NULL	NULL
India	2020-08-05 00:00:00.000	21484402	1964536	40699	NULL	NULL	NULL	NULL
India	2020-08-06 00:00:00.000	22149351	2027074	41585	NULL	NULL	NULL	NULL
